Date,ACWI,BTC-USD,GLD,JPY=X,LQD,TLT,wage_JP_5,wage_JP_30,wage_us
2014-09-01,47.445499420166016,386.9440002441406,116.20999908447266,109.38999938964844,80.03530883789062,85.87273406982422,94.8,100.0,7584.4
2014-10-01,48.017425537109375,338.3210144042969,112.66000366210938,109.21299743652344,81.02064514160156,88.27460479736328,94.7,99.8,7640.2
2014-11-01,48.67796325683594,378.0469970703125,112.11000061035156,118.82599639892578,81.76148223876953,90.89897918701172,94.7,99.8,7678.3
2014-12-01,47.12327575683594,320.1929931640625,113.58000183105469,119.45800018310547,81.52739715576172,93.672119140625,95.0,99.7,7717.9
2015-01-01,46.904666900634766,217.46400451660156,123.44999694824219,117.44999694824219,85.05318450927734,103.31818389892578,95.1,99.6,7752.2
2015-02-01,49.48836135864258,254.26300048828125,116.16000366210938,119.61722564697266,83.61836242675781,96.78044891357422,95.2,99.6,7768.5
2015-03-01,48.7652587890625,244.2239990234375,113.66000366210938,120.01300048828125,83.78306579589844,97.8446044921875,95.2,99.5,7796.3
2015-04-01,50.162723541259766,236.14500427246094,113.47000122070312,118.97000122070312,82.78692626953125,94.47966003417969,95.4,99.3,7840.7
2015-05-01,50.162723541259766,230.19000244140625,114.0999984741211,123.81999969482422,81.85554504394531,92.24195098876953,95.6,99.3,7855.4
2015-06-01,48.30213928222656,263.0719909667969,112.37000274658203,122.66999816894531,80.31156921386719,88.47673797607422,95.7,99.3,7884.0
2015-07-01,49.272159576416016,284.6499938964844,104.93000030517578,124.07099914550781,80.97409057617188,92.49468994140625,95.7,99.2,7908.5
2015-08-01,45.918296813964844,230.05599975585938,108.81999969482422,121.28900146484375,80.30531311035156,91.85852813720703,95.7,99.2,7916.4
2015-09-01,44.34000015258789,236.05999755859375,106.86000061035156,119.86000061035156,81.2546615600586,93.66650390625,95.8,99.0,7946.6
2015-10-01,47.73497009277344,314.1659851074219,109.30000305175781,120.62725830078125,81.72359466552734,93.2923355102539,96.0,98.8,7953.5
2015-11-01,47.48013687133789,377.3210144042969,101.91999816894531,122.83000183105469,81.6003646850586,92.47341918945312,96.0,98.8,7973.8
2015-12-01,45.88541030883789,430.5669860839844,101.45999908447266,120.44999694824219,80.49158477783203,92.01109313964844,96.1,98.7,7991.6
2016-01-01,44.01558303833008,368.7669982910156,106.94999694824219,121.33999633789062,81.04772186279297,97.54901123046875,96.2,98.7,7984.3
2016-02-01,43.46601486206055,437.6969909667969,118.63999938964844,113.66000366210938,81.6583480834961,100.36894989013672,96.2,98.5,8002.3
2016-03-01,46.68016815185547,416.72900390625,117.63999938964844,112.36599731445312,84.61331939697266,100.27522277832031,96.3,98.3,8026.6
2016-04-01,47.30467987060547,448.3179931640625,123.6500015258789,106.3499984741211,85.93891143798828,99.51934814453125,96.4,98.2,8030.8
2016-05-01,47.46288299560547,531.385986328125,116.05999755859375,110.84100341796875,85.50650024414062,100.32672119140625,96.4,98.2,8060.2
2016-06-01,46.82172775268555,673.3369750976562,126.47000122070312,102.77799987792969,88.14380645751953,107.27903747558594,96.5,98.3,8102.7
2016-07-01,49.227874755859375,624.6810302734375,128.97999572753906,102.33200073242188,89.29127502441406,109.5582504272461,96.7,98.3,8105.9
2016-08-01,49.39661407470703,575.4719848632812,124.77999877929688,102.86799621582031,89.46051025390625,108.44937133789062,96.9,98.3,8149.4
2016-09-01,49.86062240600586,609.7349853515625,125.63999938964844,101.1989974975586,89.18016052246094,106.81423950195312,97.0,98.4,8188.1
2016-10-01,48.90727996826172,700.9719848632812,121.94000244140625,104.56500244140625,87.81420135498047,102.1371078491211,97.1,98.4,8208.6
2016-11-01,49.413475036621094,745.6909790039062,111.75,112.47000122070312,85.03141021728516,93.7375717163086,97.0,98.4,8244.5
2016-12-01,49.919681549072266,963.7429809570312,109.61000061035156,116.88999938964844,85.5036392211914,93.04951477050781,97.3,98.4,8286.9
2017-01-01,51.847686767578125,970.4030151367188,115.55000305175781,113.6500015258789,86.09574127197266,94.24324035644531,97.4,98.3,8318.0
2017-02-01,53.15048599243164,1179.969970703125,119.2300033569336,112.74500274658203,86.99810791015625,95.53014373779297,97.5,98.3,8328.0
2017-03-01,53.86573028564453,1071.7900390625,118.72000122070312,111.7760009765625,86.74010467529297,94.92664337158203,97.8,98.5,8371.6
2017-04-01,54.7342643737793,1347.8900146484375,120.7699966430664,111.302001953125,87.77220916748047,96.40164184570312,97.9,98.6,8396.3
2017-05-01,55.943397521972656,2286.409912109375,120.62000274658203,110.83899688720703,88.94153594970703,98.22433471679688,98.2,98.7,8438.4
2017-06-01,55.76459884643555,2480.840087890625,118.0199966430664,112.00900268554688,89.37570190429688,98.99919891357422,98.5,98.8,8481.0
2017-07-01,57.92483139038086,2875.340087890625,120.75,110.51000213623047,90.05733489990234,98.35260772705078,98.5,98.8,8508.2
2017-08-01,58.15731430053711,4703.39013671875,125.81999969482422,110.45999908447266,90.6698989868164,101.69424438476562,98.6,98.9,8565.6
2017-09-01,59.250709533691406,4338.7099609375,121.58000183105469,112.99434661865234,90.62452697753906,99.34334564208984,98.8,98.9,8614.7
2017-10-01,60.52491760253906,6468.39990234375,120.66999816894531,112.99600219726562,90.79617309570312,99.30854034423828,98.9,99.0,8673.5
2017-11-01,61.74746322631836,10233.599609375,121.0999984741211,112.00199890136719,90.68550872802734,100.03720092773438,99.1,99.1,8710.7
2017-12-01,62.066009521484375,14156.400390625,123.6500015258789,112.68000030517578,91.59709167480469,101.64317321777344,99.0,99.1,8750.1
