path,wage level,1,2,3,4,5,6,7,8,9,10
6,wage3,701.0556846,700.9756104,1.004020805,0.978502385,0.956707768,1.043749052,1.00266864,1.081159737,0.978277507,1.002242295
6,wage4,1001.055685,1000.97561,1.004020805,0.978502385,0.956707768,1.043749052,1.00266864,1.081159737,0.978277507,1.002242295
6,wage5,1501.055685,1500.97561,1.004020805,0.978502385,0.956707768,1.043749052,1.00266864,1.081159737,0.978277507,1.002242295
6,wage6,2001.055685,2000.97561,1.004020805,0.978502385,0.956707768,1.043749052,1.00266864,1.081159737,0.978277507,1.002242295
6,wage7,5001.055685,5000.97561,1.004020805,0.978502385,0.956707768,1.043749052,1.00266864,1.081159737,0.978277507,1.002242295
6,wage8,10001.05568,10000.97561,10001.00402,10000.9785,10000.95671,10001.04375,10001.00267,10001.08116,10000.97828,10001.00224
7,wage1,150.986141,150.9828215,1001.016019,1001.006092,1001.047889,1000.991826,1000.998859,1001.011154,1000.957228,1000.977755
7,wage2,300.986141,300.9828215,1.016019056,1.006092061,1.047889201,0.991826085,0.998858531,1.011153636,0.957227948,0.977755369
7,wage3,700.986141,700.9828215,1.016019056,1.006092061,1.047889201,0.991826085,0.998858531,1.011153636,0.957227948,0.977755369
7,wage4,1000.986141,1000.982822,1.016019056,1.006092061,1.047889201,0.991826085,0.998858531,1.011153636,0.957227948,0.977755369
7,wage5,1500.986141,1500.982822,1.016019056,1.006092061,1.047889201,0.991826085,0.998858531,1.011153636,0.957227948,0.977755369
7,wage6,2000.986141,2000.982822,1.016019056,1.006092061,1.047889201,0.991826085,0.998858531,1.011153636,0.957227948,0.977755369
7,wage7,5000.986141,5000.982822,1.016019056,1.006092061,1.047889201,0.991826085,0.998858531,1.011153636,0.957227948,0.977755369
7,wage8,10000.98614,10000.98282,10001.01602,10001.00609,10001.04789,10000.99183,10000.99886,10001.01115,10000.95723,10000.97776
8,wage1,150.9331962,151.0458198,1001.048954,1001.063866,1000.9959,1001.033025,1001.040695,1001.043801,1001.070906,1001.018894
8,wage2,300.9331962,301.0458198,1.048954379,1.063865781,0.99590033,1.033024936,1.040694591,1.043801316,1.070906234,1.018894497
8,wage3,700.9331962,701.0458198,1.048954379,1.063865781,0.99590033,1.033024936,1.040694591,1.043801316,1.070906234,1.018894497
8,wage4,1000.933196,1001.04582,1.048954379,1.063865781,0.99590033,1.033024936,1.040694591,1.043801316,1.070906234,1.018894497
8,wage5,1500.933196,1501.04582,1.048954379,1.063865781,0.99590033,1.033024936,1.040694591,1.043801316,1.070906234,1.018894497
8,wage6,2000.933196,2001.04582,1.048954379,1.063865781,0.99590033,1.033024936,1.040694591,1.043801316,1.070906234,1.018894497
8,wage7,5000.933196,5001.04582,1.048954379,1.063865781,0.99590033,1.033024936,1.040694591,1.043801316,1.070906234,1.018894497
8,wage8,10000.9332,10001.04582,10001.04895,10001.06387,10000.9959,10001.03302,10001.04069,10001.0438,10001.07091,10001.01889
9,wage1,151.0468246,150.9992961,150.9873131,150.9349769,151.0095916,150.9457587,151.014492,1001.017981,1000.992346,1000.990641
9,wage2,301.0468246,300.9992961,300.9873131,300.9349769,301.0095916,300.9457587,301.014492,1.017980797,0.992346489,0.990640678
9,wage3,701.0468246,700.9992961,700.9873131,700.9349769,701.0095916,700.9457587,701.014492,1.017980797,0.992346489,0.990640678
9,wage4,1001.046825,1000.999296,1000.987313,1000.934977,1001.009592,1000.945759,1001.014492,1.017980797,0.992346489,0.990640678
9,wage5,1501.046825,1500.999296,1500.987313,1500.934977,1501.009592,1500.945759,1501.014492,1.017980797,0.992346489,0.990640678
9,wage6,2001.046825,2000.999296,2000.987313,2000.934977,2001.009592,2000.945759,2001.014492,1.017980797,0.992346489,0.990640678
9,wage7,5001.046825,5000.999296,5000.987313,5000.934977,5001.009592,5000.945759,5001.014492,1.017980797,0.992346489,0.990640678
9,wage8,10001.04682,10000.9993,10000.98731,10000.93498,10001.00959,10000.94576,10001.01449,10001.01798,10000.99235,10000.99064
10,wage1,150.9943023,150.9992432,151.0013363,150.9301107,1001.019336,1001.043309,1001.073482,1001.025986,1000.968635,1000.985611
10,wage2,300.9943023,300.9992432,301.0013363,300.9301107,1.019335506,1.043308648,1.073482167,1.025986058,0.968634665,0.985610951
10,wage3,700.9943023,700.9992432,701.0013363,700.9301107,1.019335506,1.043308648,1.073482167,1.025986058,0.968634665,0.985610951
10,wage4,1000.994302,1000.999243,1001.001336,1000.930111,1.019335506,1.043308648,1.073482167,1.025986058,0.968634665,0.985610951
10,wage5,1500.994302,1500.999243,1501.001336,1500.930111,1.019335506,1.043308648,1.073482167,1.025986058,0.968634665,0.985610951
10,wage6,2000.994302,2000.999243,2001.001336,2000.930111,1.019335506,1.043308648,1.073482167,1.025986058,0.968634665,0.985610951
10,wage7,5000.994302,5000.999243,5001.001336,5000.930111,1.019335506,1.043308648,1.073482167,1.025986058,0.968634665,0.985610951
10,wage8,10000.9943,10000.99924,10001.00134,10000.93011,10001.01934,10001.04331,10001.07348,10001.02599,10000.96863,10000.98561
11,wage1,151.011732,151.0001992,1000.992537,1001.047848,1001.051277,1000.993603,1000.978327,1001.077865,1000.963245,1001.003009
11,wage2,301.011732,301.0001992,0.992536652,1.047848396,1.051276965,0.993602574,0.978326918,1.077865496,0.963244575,1.003009226
11,wage3,701.011732,701.0001992,0.992536652,1.047848396,1.051276965,0.993602574,0.978326918,1.077865496,0.963244575,1.003009226
11,wage4,1001.011732,1001.000199,0.992536652,1.047848396,1.051276965,0.993602574,0.978326918,1.077865496,0.963244575,1.003009226
11,wage5,1501.011732,1501.000199,0.992536652,1.047848396,1.051276965,0.993602574,0.978326918,1.077865496,0.963244575,1.003009226
11,wage6,2001.011732,2001.000199,0.992536652,1.047848396,1.051276965,0.993602574,0.978326918,1.077865496,0.963244575,1.003009226
11,wage7,5001.011732,5001.000199,0.992536652,1.047848396,1.051276965,0.993602574,0.978326918,1.077865496,0.963244575,1.003009226
11,wage8,10001.01173,10001.0002,10000.99254,10001.04785,10001.05128,10000.9936,10000.97833,10001.07787,10000.96324,10001.00301
12,wage1,150.9609371,151.0224362,1000.898188,1001.033648,1001.059082,1000.996442,1001.008048,1001.044604,1001.02595,1000.992347
12,wage2,300.9609371,301.0224362,0.898187835,1.03364802,1.059081534,0.996441817,1.008047765,1.044604056,1.025949707,0.992346578
12,wage3,700.9609371,701.0224362,0.898187835,1.03364802,1.059081534,0.996441817,1.008047765,1.044604056,1.025949707,0.992346578
12,wage4,1000.960937,1001.022436,0.898187835,1.03364802,1.059081534,0.996441817,1.008047765,1.044604056,1.025949707,0.992346578
